case_id;date;start_of_week;start_of_month;translated_comments;sentiment;channel;resolution_time_min;csat_rating_received;classification;resolved_in_sla;first_touch_resolution;group_name_history;groups;total_groups;csat_rated_group_name;issue_classification
CASE-17435;2023-11-07;2023-11-05;2023-11-01;The support team over the phone was incredibly helpful.;positive;chatbot;1;4;PROMOTER;1;1;Grupo A,Grupo A,Grupo D;2;3;Grupo D;Loan Inquiry
CASE-16738;2023-11-09;2023-11-05;2023-11-01;The chatbot guided me through online banking setup flawlessly.;positive;email;83;5;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-10970;2023-10-26;2023-10-22;2023-10-01;The chatbot was alright with my payment setup.;neutral;phone;25;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-10066;2024-02-18;2024-02-18;2024-02-01;The email response was detailed and very helpful.;positive;email;217;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Login Problems
CASE-15644;2023-08-28;2023-08-27;2023-08-01;The email response was fair, not very thorough.;neutral;chatbot;13;4;PROMOTER;0;0;Grupo I;1;1;Grupo I;Account Setup
CASE-10433;2023-05-11;2023-05-07;2023-05-01;The phone representative was kind and fixed my issue right away.;positive;chatbot;8;5;PROMOTER;1;1;Grupo B,Grupo A,Grupo J;3;3;Grupo J;Loan Inquiry
CASE-16554;2022-01-21;2022-01-16;2022-01-01;The chatbot answered all my questions perfectly, amazing!;positive;chatbot;5;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Card Issues
CASE-13008;2024-04-07;2024-04-07;2024-04-01;Email support was a complete letdown.;negative;chatbot;120;1;DETRACTOR;0;0;Grupo D,Grupo H,Grupo C,Grupo E;4;4;Grupo E;Balance Inquiry
CASE-17080;2023-09-13;2023-09-10;2023-09-01;The chatbot failed to reset my password correctly.;negative;phone;65;1;DETRACTOR;0;0;Grupo H,Grupo F,Grupo G;3;3;Grupo G;General Inquiry
CASE-15594;2024-07-14;2024-07-14;2024-07-01;The email response was decent, not great.;neutral;email;1033;4;PROMOTER;1;0;Grupo E,Grupo E;1;2;Grupo E;Payment Issues
CASE-11089;2022-02-20;2022-02-20;2022-02-01;The agent was very helpful and resolved my issue quickly.;positive;chatbot;3;5;PROMOTER;1;0;Grupo J;1;1;Grupo J;Login Problems
CASE-14750;2022-02-10;2022-02-06;2022-02-01;The chatbot helped me with my savings goal easily.;positive;phone;10;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Transaction Error
CASE-19463;2022-06-10;2022-06-05;2022-06-01;The chatbot failed to process my payment request.;negative;phone;44;2;DETRACTOR;0;0;Grupo G;1;1;Grupo G;Login Problems
CASE-18647;2024-12-25;2024-12-22;2024-12-01;The chatbot kept freezing during my inquiry.;negative;phone;108;1;DETRACTOR;0;0;Grupo J,Grupo E;2;2;Grupo E;Card Issues
CASE-12292;2024-10-26;2024-10-20;2024-10-01;Email support was fast and gave me all the info I needed.;positive;phone;10;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Fees Inquiry
CASE-16422;2022-02-03;2022-01-30;2022-02-01;The agent on the phone explained my mortgage options clearly.;positive;chatbot;4;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Transaction Error
CASE-18162;2025-01-07;2025-01-05;2025-01-01;The email team helped me with my statement questions quickly.;positive;chatbot;1;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Login Problems
CASE-10756;2023-04-08;2023-04-02;2023-04-01;The email team helped me update my contact info effortlessly.;positive;email;140;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-13483;2024-12-20;2024-12-15;2024-12-01;The chatbot assisted me with my savings account inquiry perfectly.;positive;email;148;5;PROMOTER;1;1;Grupo H,Grupo C;2;2;Grupo C;Account Setup
CASE-17597;2023-08-21;2023-08-20;2023-08-01;The chatbot quickly helped me reset my password.;positive;chatbot;5;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Account Setup
CASE-10446;2024-04-16;2024-04-14;2024-04-01;The phone team made banking so easy for me.;positive;chatbot;5;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-11333;2022-02-23;2022-02-20;2022-02-01;The email response was clear and professional.;positive;email;148;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Balance Inquiry
CASE-17977;2023-09-18;2023-09-17;2023-09-01;The email team responded promptly and solved my issue.;positive;chatbot;4;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Account Setup
CASE-17543;2022-04-17;2022-04-17;2022-04-01;The email response was professional and to the point.;positive;chatbot;2;5;PROMOTER;1;1;Grupo D;1;1;Grupo D;Account Setup
CASE-16987;2022-12-17;2022-12-11;2022-12-01;The email response was late and full of errors.;negative;email;1981;2;DETRACTOR;0;0;Grupo E,Grupo G,Grupo J,Grupo F;4;4;Grupo F;Login Problems
CASE-13524;2024-03-03;2024-03-03;2024-03-01;The chatbot couldn’t handle my simple transfer request.;negative;email;2810;1;DETRACTOR;0;0;Grupo C;1;1;Grupo C;Card Issues
CASE-13063;2024-06-25;2024-06-23;2024-06-01;The chatbot crashed during my payment request.;negative;chatbot;29;1;DETRACTOR;0;0;Grupo J,Grupo C,Grupo I;3;3;Grupo I;Payment Issues
CASE-11745;2022-02-15;2022-02-13;2022-02-01;The chatbot failed to assist with my rewards query.;negative;phone;133;2;DETRACTOR;0;0;Grupo D,Grupo C,Grupo G,Grupo I;4;4;Grupo I;Payment Issues
CASE-14476;2023-07-11;2023-07-09;2023-07-01;The chatbot couldn’t assist with my statement.;negative;phone;74;2;DETRACTOR;0;0;Grupo H,Grupo H,Grupo B,Grupo G;3;4;Grupo G;Card Issues
CASE-17280;2023-11-27;2023-11-26;2023-11-01;Quick and friendly service, my card issue was sorted out fast.;positive;chatbot;1;4;PROMOTER;1;1;Grupo G,Grupo A;2;2;Grupo A;Loan Inquiry
CASE-14228;2023-03-03;2023-02-26;2023-03-01;I got a fast and friendly response via email, great job!;positive;email;119;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-13856;2023-11-05;2023-11-05;2023-11-01;The chatbot was fine with my loan question.;neutral;phone;24;4;PROMOTER;1;1;Grupo I;1;1;Grupo I;Payment Issues
CASE-17240;2024-12-23;2024-12-22;2024-12-01;The chatbot gave me outdated info about my fees.;negative;chatbot;43;1;DETRACTOR;0;0;Grupo F,Grupo E;2;2;Grupo E;Loan Inquiry
CASE-18220;2024-11-04;2024-11-03;2024-11-01;The chatbot answered all my questions perfectly, amazing!;positive;email;62;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Balance Inquiry
CASE-19321;2022-02-11;2022-02-06;2022-02-01;The chatbot crashed during my transaction query.;negative;phone;201;2;DETRACTOR;0;0;Grupo E,Grupo G,Grupo J,Grupo E;3;4;Grupo E;General Inquiry
CASE-13061;2023-01-09;2023-01-08;2023-01-01;Email support ignored my complaint completely.;negative;email;1943;1;DETRACTOR;0;0;Grupo F,Grupo H,Grupo H;2;3;Grupo H;Loan Inquiry
CASE-17117;2023-12-23;2023-12-17;2023-12-01;Email support was the worst, no effort at all.;negative;chatbot;31;2;DETRACTOR;0;0;Grupo B,Grupo A;2;2;Grupo A;General Inquiry
CASE-11556;2022-05-27;2022-05-22;2022-05-01;Phone support was the worst I’ve ever experienced.;negative;chatbot;30;2;DETRACTOR;0;0;Grupo G;1;1;Grupo G;Card Issues
CASE-14821;2024-11-06;2024-11-03;2024-11-01;Email support made resolving my issue so easy.;positive;email;173;4;PROMOTER;1;0;Grupo C;1;1;Grupo C;General Inquiry
CASE-10936;2025-02-20;2025-02-16;2025-02-01;The chatbot answered my loan question in seconds.;positive;chatbot;3;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Login Problems
CASE-14971;2023-05-03;2023-04-30;2023-05-01;The chatbot was quick to assist with my transfer request.;positive;chatbot;3;5;PROMOTER;1;0;Grupo I,Grupo I;1;2;Grupo I;Payment Issues
CASE-15832;2022-07-24;2022-07-24;2022-07-01;The email team didn’t care about my problem.;negative;phone;122;1;DETRACTOR;0;1;Grupo G,Grupo A,Grupo F;3;3;Grupo F;Fraud Report
CASE-18548;2023-12-10;2023-12-10;2023-12-01;The chatbot answered my loan query, but it was slow.;neutral;email;489;3;DETRACTOR;1;0;Grupo A;1;1;Grupo A;Balance Inquiry
CASE-13947;2024-03-25;2024-03-24;2024-03-01;I’m impressed with how fast my loan application was processed.;positive;phone;14;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-15758;2022-05-10;2022-05-08;2022-05-01;The chatbot helped me with my savings goal easily.;positive;chatbot;5;5;PROMOTER;1;0;Grupo B;1;1;Grupo B;General Inquiry
CASE-17875;2024-06-05;2024-06-02;2024-06-01;The phone agent gave me conflicting information.;negative;chatbot;44;1;DETRACTOR;0;0;Grupo G,Grupo A;2;2;Grupo A;Transaction Error
CASE-14622;2022-10-13;2022-10-09;2022-10-01;The chatbot assisted with my account setup smoothly.;positive;chatbot;2;5;PROMOTER;1;0;Grupo B;1;1;Grupo B;Payment Issues
CASE-19544;2024-02-24;2024-02-18;2024-02-01;Phone support was efficient and solved my problem fast.;positive;chatbot;8;5;PROMOTER;1;1;Grupo A,Grupo A;1;2;Grupo A;Account Setup
CASE-16537;2024-01-04;2023-12-31;2024-01-01;Great customer service, the phone representative was so polite!;positive;chatbot;3;5;PROMOTER;1;1;Grupo E;1;1;Grupo E;Payment Issues
CASE-13754;2022-03-13;2022-03-13;2022-03-01;The email team ignored my urgent request.;negative;email;2922;1;DETRACTOR;0;0;Grupo J,Grupo A;2;2;Grupo A;Fraud Report
CASE-19657;2023-05-08;2023-05-07;2023-05-01;The email team provided a clear and quick solution.;positive;email;86;5;PROMOTER;1;1;Grupo D,Grupo B,Grupo D;2;3;Grupo D;General Inquiry
CASE-11526;2022-01-01;2021-12-26;2022-01-01;Email support was okay, not very detailed.;neutral;chatbot;23;4;PROMOTER;0;0;Grupo I,Grupo F,Grupo B;3;3;Grupo B;Payment Issues
CASE-10059;2022-04-09;2022-04-03;2022-04-01;Phone support was quick and made my day better!;positive;chatbot;15;5;PROMOTER;0;1;Grupo G,Grupo H,Grupo D;3;3;Grupo D;Transaction Error
CASE-18783;2024-11-22;2024-11-17;2024-11-01;Phone support was quick and made my day better!;positive;phone;12;5;PROMOTER;1;1;Grupo D,Grupo C,Grupo H;3;3;Grupo H;Balance Inquiry
CASE-19500;2024-08-24;2024-08-18;2024-08-01;The phone agent was so patient with my account setup.;positive;phone;15;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-13816;2022-05-09;2022-05-08;2022-05-01;The email response was vague and unhelpful.;negative;phone;78;2;DETRACTOR;0;0;Grupo A,Grupo J,Grupo A;2;3;Grupo A;Login Problems
CASE-15175;2022-09-27;2022-09-25;2022-09-01;Email support was amazing, they responded right away.;positive;phone;28;4;PROMOTER;1;1;Grupo H,Grupo G,Grupo H;2;3;Grupo H;Loan Inquiry
CASE-13067;2024-12-02;2024-12-01;2024-12-01;The phone team didn’t solve my transfer problem.;negative;email;2072;2;DETRACTOR;0;0;Grupo J,Grupo I,Grupo A,Grupo F,Grupo G;5;5;Grupo G;Transaction Error
CASE-19106;2024-01-14;2024-01-14;2024-01-01;The phone team was neutral, solved my query.;neutral;chatbot;10;3;DETRACTOR;1;1;Grupo E;1;1;Grupo E;Payment Issues
CASE-11357;2023-05-30;2023-05-28;2023-05-01;The email response was clear and solved my problem.;positive;chatbot;12;5;PROMOTER;0;1;Grupo G,Grupo D,Grupo I;3;3;Grupo I;Balance Inquiry
CASE-12345;2024-04-15;2024-04-14;2024-04-01;I’m impressed with how fast my loan application was processed.;positive;email;120;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Transaction Error
CASE-16202;2025-01-05;2025-01-05;2025-01-01;The chatbot was average, did the job eventually.;neutral;email;817;3;DETRACTOR;1;1;Grupo C;1;1;Grupo C;Account Setup
CASE-16716;2023-06-18;2023-06-18;2023-06-01;The chatbot was quick to assist with my transfer request.;positive;phone;8;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Balance Inquiry
CASE-11067;2022-02-16;2022-02-13;2022-02-01;The chatbot crashed when I asked about my loan.;negative;email;2428;2;DETRACTOR;0;0;Grupo C,Grupo D,Grupo E,Grupo I;4;4;Grupo I;Payment Issues
CASE-10738;2022-02-04;2022-01-30;2022-02-01;Email support was reliable and resolved my concern.;positive;chatbot;4;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Account Setup
CASE-14282;2022-09-18;2022-09-18;2022-09-01;The email response was clear and solved my problem.;positive;email;603;4;PROMOTER;1;1;Grupo E,Grupo I,Grupo H;3;3;Grupo H;Balance Inquiry
CASE-10499;2023-10-25;2023-10-22;2023-10-01;The phone service was awful, no one knew what to do.;negative;phone;132;2;DETRACTOR;0;1;Grupo D,Grupo A,Grupo C;3;3;Grupo C;Transaction Error
CASE-17018;2023-09-13;2023-09-10;2023-09-01;The chatbot answered my loan query, but it was slow.;neutral;email;3776;3;DETRACTOR;0;1;Grupo F,Grupo F,Grupo C,Grupo D;3;4;Grupo D;Loan Inquiry
CASE-15915;2024-01-08;2024-01-07;2024-01-01;The chatbot made banking so convenient, I love it!;positive;phone;7;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Card Issues
CASE-18768;2023-03-31;2023-03-26;2023-03-01;The phone team was okay, nothing standout.;neutral;phone;93;4;PROMOTER;0;0;Grupo G,Grupo A,Grupo D,Grupo H;4;4;Grupo H;Balance Inquiry
CASE-19256;2023-07-29;2023-07-23;2023-07-01;The chatbot failed to assist with my rewards query.;negative;email;2238;2;DETRACTOR;0;0;Grupo A,Grupo I,Grupo F,Grupo C;4;4;Grupo C;Fraud Report
CASE-19141;2024-02-25;2024-02-25;2024-02-01;The chatbot gave me irrelevant answers every time.;negative;phone;116;1;DETRACTOR;0;0;Grupo C,Grupo D;2;2;Grupo D;General Inquiry
CASE-12930;2022-10-20;2022-10-16;2022-10-01;Phone support was slow and didn’t fix my card issue.;negative;phone;139;2;DETRACTOR;0;0;Grupo J,Grupo F,Grupo B,Grupo C,Grupo C;4;5;Grupo C;Transaction Error
CASE-11792;2024-08-18;2024-08-18;2024-08-01;The chatbot assisted with my bill payment perfectly.;positive;chatbot;5;4;PROMOTER;1;1;Grupo E;1;1;Grupo E;Card Issues
CASE-13239;2025-01-10;2025-01-05;2025-01-01;The email response was vague and unhelpful.;negative;email;1618;2;DETRACTOR;0;0;Grupo G,Grupo I,Grupo E;3;3;Grupo E;General Inquiry
CASE-16618;2023-10-27;2023-10-22;2023-10-01;The email team was decent, response was fair.;neutral;email;1209;4;PROMOTER;1;0;Grupo I;1;1;Grupo I;Card Issues
CASE-17250;2022-01-07;2022-01-02;2022-01-01;I got a fast and friendly response via email, great job!;positive;chatbot;2;4;PROMOTER;1;1;Grupo I,Grupo J;2;2;Grupo J;Transaction Error
CASE-19501;2024-11-24;2024-11-24;2024-11-01;The chatbot was quick to assist with my card issue.;positive;email;84;5;PROMOTER;1;1;Grupo H;1;1;Grupo H;Card Issues
CASE-16412;2024-01-22;2024-01-21;2024-01-01;Email support was fair, nothing special.;neutral;phone;55;3;DETRACTOR;0;1;Grupo C,Grupo B,Grupo F;3;3;Grupo F;Balance Inquiry
CASE-12938;2024-10-26;2024-10-20;2024-10-01;The email response was prompt and very clear.;positive;phone;9;4;PROMOTER;1;0;Grupo H;1;1;Grupo H;Account Setup
CASE-17352;2023-12-14;2023-12-10;2023-12-01;Phone support was efficient and solved my problem fast.;positive;chatbot;1;4;PROMOTER;1;1;Grupo I,Grupo G,Grupo I;2;3;Grupo I;Loan Inquiry
CASE-17395;2023-04-18;2023-04-16;2023-04-01;Email support was excellent and very responsive.;positive;chatbot;4;5;PROMOTER;1;1;Grupo A;1;1;Grupo A;Payment Issues
CASE-14450;2022-07-14;2022-07-10;2022-07-01;The phone service was awful, no one knew what to do.;negative;chatbot;77;2;DETRACTOR;0;0;Grupo A,Grupo I,Grupo C;3;3;Grupo C;Payment Issues
CASE-19890;2022-03-06;2022-03-06;2022-03-01;The staff made transferring funds so easy and stress-free.;positive;phone;30;4;PROMOTER;1;1;Grupo C,Grupo D;2;2;Grupo D;Card Issues
CASE-11169;2023-12-31;2023-12-31;2023-12-01;The chatbot failed to help with my account setup.;negative;chatbot;65;1;DETRACTOR;0;0;Grupo E,Grupo I,Grupo D,Grupo E,Grupo G;4;5;Grupo G;Login Problems
CASE-14313;2024-08-15;2024-08-11;2024-08-01;The email response was thorough and resolved my question.;positive;chatbot;5;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Fees Inquiry
CASE-11949;2023-05-01;2023-04-30;2023-05-01;The phone agent hung up on me mid-conversation.;negative;phone;84;2;DETRACTOR;0;1;Grupo J,Grupo F,Grupo B;3;3;Grupo B;Payment Issues
CASE-16801;2022-03-03;2022-02-27;2022-03-01;Great customer service, the phone representative was so polite!;positive;chatbot;1;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Transaction Error
CASE-19883;2024-09-09;2024-09-08;2024-09-01;The chatbot helped me with my account balance quickly.;positive;phone;13;4;PROMOTER;1;0;Grupo A;1;1;Grupo A;General Inquiry
CASE-11049;2022-04-06;2022-04-03;2022-04-01;Phone support was quick and made my day better!;positive;email;110;5;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-18873;2023-01-29;2023-01-29;2023-01-01;The email response was prompt and very clear.;positive;email;391;4;PROMOTER;1;0;Grupo C,Grupo A;2;2;Grupo A;Fees Inquiry
CASE-16837;2023-10-12;2023-10-08;2023-10-01;The chatbot guided me through my account options easily.;positive;email;174;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-10451;2024-05-01;2024-04-28;2024-05-01;The phone team was rude and hung up on me.;negative;phone;168;2;DETRACTOR;0;0;Grupo D,Grupo I,Grupo D,Grupo B;3;4;Grupo B;Loan Inquiry
CASE-18720;2023-10-25;2023-10-22;2023-10-01;The chatbot crashed when I tried to check my balance.;negative;email;3640;1;DETRACTOR;0;1;Grupo I,Grupo J,Grupo G,Grupo F;4;4;Grupo F;Payment Issues
CASE-18500;2024-08-30;2024-08-25;2024-08-01;The chatbot gave me incorrect balance info.;negative;chatbot;73;1;DETRACTOR;0;0;Grupo B,Grupo J,Grupo E;3;3;Grupo E;Fraud Report
CASE-12798;2023-02-02;2023-01-29;2023-02-01;The chatbot explained my fees so clearly, I’m impressed!;positive;email;456;5;PROMOTER;1;1;Grupo D,Grupo D;1;2;Grupo D;Card Issues
CASE-16270;2022-08-09;2022-08-07;2022-08-01;Phone support was standard, nothing exciting.;neutral;phone;17;4;PROMOTER;1;1;Grupo J;1;1;Grupo J;Account Setup
CASE-18544;2024-07-27;2024-07-21;2024-07-01;I waited on hold for an hour, this is unacceptable.;negative;email;2750;2;DETRACTOR;0;0;Grupo I,Grupo G,Grupo C,Grupo I;3;4;Grupo I;Loan Inquiry
CASE-14561;2022-01-21;2022-01-16;2022-01-01;The service was fine, I got what I needed.;neutral;email;330;3;DETRACTOR;1;1;Grupo E;1;1;Grupo E;Login Problems
CASE-16992;2024-10-21;2024-10-20;2024-10-01;Phone support was average, nothing to note.;neutral;chatbot;21;3;DETRACTOR;0;1;Grupo B,Grupo A;2;2;Grupo A;Card Issues
CASE-10532;2024-03-31;2024-03-31;2024-03-01;The chatbot saved me so much time with my transaction query.;positive;email;240;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Loan Inquiry
CASE-10183;2022-05-05;2022-05-01;2022-05-01;Phone support was efficient and solved my problem fast.;positive;email;186;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Transaction Error
CASE-12676;2024-10-11;2024-10-06;2024-10-01;The phone agent explained everything in a friendly way.;positive;email;219;4;PROMOTER;1;1;Grupo G;1;1;Grupo G;Balance Inquiry
CASE-14386;2023-11-29;2023-11-26;2023-11-01;The call center staff was patient and resolved my payment issue.;positive;chatbot;1;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-19818;2023-05-26;2023-05-21;2023-05-01;Great customer service, the phone representative was so polite!;positive;phone;8;5;PROMOTER;1;1;Grupo I,Grupo I;1;2;Grupo I;General Inquiry
CASE-18364;2024-10-25;2024-10-20;2024-10-01;The call center staff was patient and resolved my payment issue.;positive;phone;5;5;PROMOTER;1;1;Grupo I;1;1;Grupo I;Payment Issues
CASE-18283;2022-12-08;2022-12-04;2022-12-01;The chatbot gave me nonsense answers all the time.;negative;email;2845;2;DETRACTOR;0;0;Grupo I,Grupo D,Grupo F,Grupo C,Grupo D;4;5;Grupo D;Transaction Error
CASE-17575;2022-04-23;2022-04-17;2022-04-01;The phone agent was so patient with my account setup.;positive;email;291;5;PROMOTER;1;1;Grupo F,Grupo F;1;2;Grupo F;Balance Inquiry
CASE-10424;2025-01-01;2024-12-29;2025-01-01;The chatbot answered my loan query, but it was slow.;neutral;chatbot;8;3;DETRACTOR;1;1;Grupo B,Grupo G;2;2;Grupo G;Balance Inquiry
CASE-15276;2022-12-01;2022-11-27;2022-12-01;The phone agent was rude and didn’t solve my issue.;negative;chatbot;88;1;DETRACTOR;0;0;Grupo B,Grupo F,Grupo F,Grupo G,Grupo E;4;5;Grupo E;General Inquiry
CASE-14021;2024-09-02;2024-09-01;2024-09-01;Email support was excellent and very responsive.;positive;chatbot;9;4;PROMOTER;1;1;Grupo E,Grupo G,Grupo B;3;3;Grupo B;Payment Issues
CASE-19915;2023-06-15;2023-06-11;2023-06-01;The phone team resolved my overdraft issue professionally.;positive;chatbot;2;5;PROMOTER;1;1;Grupo J;1;1;Grupo J;Balance Inquiry
CASE-11109;2024-04-18;2024-04-14;2024-04-01;The email team provided a clear and quick solution.;positive;chatbot;1;4;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-14269;2024-06-26;2024-06-23;2024-06-01;The chatbot made banking so convenient, I love it!;positive;phone;5;5;PROMOTER;1;1;Grupo H,Grupo C;2;2;Grupo C;Balance Inquiry
CASE-15198;2023-01-23;2023-01-22;2023-01-01;The chatbot assisted with my bill payment perfectly.;positive;chatbot;1;4;PROMOTER;1;1;Grupo A,Grupo H;2;2;Grupo H;Balance Inquiry
CASE-12181;2022-07-01;2022-06-26;2022-07-01;Phone support was slow and didn’t fix my card issue.;negative;phone;147;1;DETRACTOR;0;1;Grupo I,Grupo G,Grupo A;3;3;Grupo A;Transaction Error
CASE-11929;2024-12-08;2024-12-08;2024-12-01;The chatbot couldn’t handle my simple question.;negative;email;2440;2;DETRACTOR;0;1;Grupo H,Grupo A,Grupo A,Grupo C;3;4;Grupo C;Fraud Report
CASE-16400;2022-09-29;2022-09-25;2022-09-01;I love how efficient the phone support was today!;positive;email;68;5;PROMOTER;1;1;Grupo G,Grupo G;1;2;Grupo G;General Inquiry
CASE-16866;2023-04-28;2023-04-23;2023-04-01;The email response was late and irrelevant.;negative;email;2041;2;DETRACTOR;0;0;Grupo I,Grupo G;2;2;Grupo G;Login Problems
CASE-16410;2022-08-27;2022-08-21;2022-08-01;Email support was spot on, they fixed my login problem quickly.;positive;phone;6;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Balance Inquiry
CASE-17841;2024-07-06;2024-06-30;2024-07-01;The email response was rude and incomplete.;negative;chatbot;111;2;DETRACTOR;0;0;Grupo I,Grupo D,Grupo J,Grupo E;4;4;Grupo E;Transaction Error
CASE-17786;2022-08-13;2022-08-07;2022-08-01;The call center staff was patient and resolved my payment issue.;positive;chatbot;2;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Balance Inquiry
CASE-13874;2024-01-25;2024-01-21;2024-01-01;The phone team resolved my overdraft issue professionally.;positive;email;347;4;PROMOTER;1;1;Grupo F,Grupo I,Grupo D;3;3;Grupo D;General Inquiry
CASE-11910;2024-02-03;2024-01-28;2024-02-01;The chatbot couldn’t assist with my statement.;negative;email;2768;1;DETRACTOR;0;0;Grupo D,Grupo G;2;2;Grupo G;Payment Issues
CASE-12179;2024-01-02;2023-12-31;2024-01-01;The chatbot was a lifesaver when I needed to block my card.;positive;chatbot;4;4;PROMOTER;1;1;Grupo B;1;1;Grupo B;Account Setup
CASE-12668;2023-12-28;2023-12-24;2023-12-01;The chatbot was quick to assist with my transfer request.;positive;chatbot;4;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Fees Inquiry
CASE-12407;2024-08-06;2024-08-04;2024-08-01;The phone agent was okay, did the job.;neutral;phone;53;4;PROMOTER;0;1;Grupo F,Grupo A,Grupo A;2;3;Grupo A;General Inquiry
CASE-17028;2023-04-08;2023-04-02;2023-04-01;The chatbot assisted with my bill payment perfectly.;positive;email;230;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Fees Inquiry
CASE-16909;2022-01-09;2022-01-09;2022-01-01;The phone team was slow and didn’t care.;negative;chatbot;60;1;DETRACTOR;0;0;Grupo I,Grupo B,Grupo E;3;3;Grupo E;Balance Inquiry
CASE-18515;2023-01-01;2023-01-01;2023-01-01;The email response was professional and to the point.;positive;phone;13;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Balance Inquiry
CASE-17341;2022-11-21;2022-11-20;2022-11-01;The chatbot made banking so convenient, I love it!;positive;email;118;5;PROMOTER;1;1;Grupo G,Grupo A;2;2;Grupo A;Card Issues
CASE-17773;2023-10-30;2023-10-29;2023-10-01;The chatbot assisted with my account setup smoothly.;positive;phone;12;5;PROMOTER;1;1;Grupo F;1;1;Grupo F;Loan Inquiry
CASE-18120;2023-07-05;2023-07-02;2023-07-01;The chatbot gave me irrelevant answers every time.;negative;email;3266;2;DETRACTOR;0;0;Grupo E,Grupo F,Grupo A,Grupo F,Grupo B;4;5;Grupo B;Fraud Report
CASE-18455;2022-05-08;2022-05-08;2022-05-01;The phone team was unprofessional and unhelpful.;negative;phone;48;2;DETRACTOR;0;0;Grupo A,Grupo I,Grupo A;2;3;Grupo A;Transaction Error
CASE-16743;2023-07-20;2023-07-16;2023-07-01;The email team ignored my urgent card issue.;negative;phone;65;1;DETRACTOR;0;0;Grupo B,Grupo C,Grupo A,Grupo E;4;4;Grupo E;Transaction Error
CASE-12290;2022-03-04;2022-02-27;2022-03-01;The chatbot assisted with my account setup smoothly.;positive;email;100;4;PROMOTER;1;1;Grupo H;1;1;Grupo H;Account Setup
CASE-14484;2025-01-05;2025-01-05;2025-01-01;Email support was amazing, they responded right away.;positive;email;231;4;PROMOTER;1;1;Grupo C;1;1;Grupo C;Payment Issues
CASE-13658;2023-09-14;2023-09-10;2023-09-01;The phone team was incompetent and slow.;negative;chatbot;15;1;DETRACTOR;0;0;Grupo G,Grupo A;2;2;Grupo A;Loan Inquiry
CASE-10867;2022-10-21;2022-10-16;2022-10-01;I’m impressed with how fast my loan application was processed.;positive;chatbot;5;4;PROMOTER;1;1;Grupo A;1;1;Grupo A;Card Issues
CASE-11668;2024-07-01;2024-06-30;2024-07-01;The phone agent didn’t know basic banking info.;negative;email;3752;2;DETRACTOR;0;0;Grupo C,Grupo J,Grupo A,Grupo D;4;4;Grupo D;General Inquiry
CASE-15355;2023-11-23;2023-11-19;2023-11-01;The email response was delayed and unhelpful.;negative;chatbot;45;1;DETRACTOR;0;1;Grupo J,Grupo D;2;2;Grupo D;Login Problems
CASE-14328;2023-08-05;2023-07-30;2023-08-01;The phone agent walked me through everything step-by-step.;positive;phone;6;5;PROMOTER;1;1;Grupo B;1;1;Grupo B;Account Setup
CASE-18822;2024-11-06;2024-11-03;2024-11-01;I love how efficient the phone support was today!;positive;phone;29;5;PROMOTER;1;1;Grupo E,Grupo C,Grupo I;3;3;Grupo I;Card Issues
